Date,Visitor Team,Home Team,Visitor Goals,Home Goals
2022-10-07,San Jose Sharks,Nashville Predators,1,4
2022-10-08,Nashville Predators,San Jose Sharks,3,2
2022-10-11,Vegas Golden Knights,Los Angeles Kings,4,3
2022-10-11,Tampa Bay Lightning,New York Rangers,1,3
2022-10-12,Seattle Kraken,Anaheim Ducks,4,5
2022-10-12,Columbus Blue Jackets,Carolina Hurricanes,1,4
2022-10-12,Chicago Blackhawks,Colorado Avalanche,2,5
2022-10-12,Vancouver Canucks,Edmonton Oilers,3,5
2022-10-12,Toronto Maple Leafs,Montreal Canadiens,3,4
2022-10-12,Boston Bruins,Washington Capitals,5,2
2022-10-13,Ottawa Senators,Buffalo Sabres,1,4
2022-10-13,Colorado Avalanche,Calgary Flames,3,5
2022-10-13,Seattle Kraken,Los Angeles Kings,4,1
2022-10-13,New York Rangers,Minnesota Wild,7,3
2022-10-13,Dallas Stars,Nashville Predators,4,1
2022-10-13,Florida Panthers,New York Islanders,3,1
2022-10-13,New Jersey Devils,Philadelphia Flyers,2,5
2022-10-13,Arizona Coyotes,Pittsburgh Penguins,2,6
2022-10-13,Washington Capitals,Toronto Maple Leafs,2,3
2022-10-13,Chicago Blackhawks,Vegas Golden Knights,0,1
2022-10-14,Tampa Bay Lightning,Columbus Blue Jackets,5,2
2022-10-14,Montreal Canadiens,Detroit Red Wings,0,3
2022-10-14,Carolina Hurricanes,San Jose Sharks,2,1
2022-10-14,New York Rangers,Winnipeg Jets,1,4
2022-10-15,Arizona Coyotes,Boston Bruins,3,6
2022-10-15,Florida Panthers,Buffalo Sabres,4,3
2022-10-15,Nashville Predators,Dallas Stars,1,5
2022-10-15,Calgary Flames,Edmonton Oilers,4,3
2022-10-15,Los Angeles Kings,Minnesota Wild,7,6
2022-10-15,Detroit Red Wings,New Jersey Devils,5,2
2022-10-15,Anaheim Ducks,New York Islanders,1,7
2022-10-15,Vancouver Canucks,Philadelphia Flyers,2,3
2022-10-15,Tampa Bay Lightning,Pittsburgh Penguins,2,6
2022-10-15,Vegas Golden Knights,Seattle Kraken,5,2
2022-10-15,Chicago Blackhawks,San Jose Sharks,5,2
2022-10-15,Columbus Blue Jackets,St. Louis Blues,2,5
2022-10-15,Ottawa Senators,Toronto Maple Leafs,2,3
2022-10-15,Montreal Canadiens,Washington Capitals,1,3
2022-10-17,Florida Panthers,Boston Bruins,3,5
2022-10-17,Winnipeg Jets,Dallas Stars,1,4
2022-10-17,Los Angeles Kings,Detroit Red Wings,5,4
2022-10-17,Colorado Avalanche,Minnesota Wild,6,3
2022-10-17,Pittsburgh Penguins,Montreal Canadiens,2,3
2022-10-17,Anaheim Ducks,New York Rangers,4,6
2022-10-17,Carolina Hurricanes,Seattle Kraken,5,1
2022-10-17,Arizona Coyotes,Toronto Maple Leafs,4,2
2022-10-17,Vancouver Canucks,Washington Capitals,4,6
2022-10-18,Vancouver Canucks,Columbus Blue Jackets,3,4
2022-10-18,Vegas Golden Knights,Calgary Flames,2,3
2022-10-18,Buffalo Sabres,Edmonton Oilers,4,2
2022-10-18,Anaheim Ducks,New Jersey Devils,2,4
2022-10-18,Los Angeles Kings,Nashville Predators,4,3
2022-10-18,San Jose Sharks,New York Islanders,2,5
2022-10-18,Boston Bruins,Ottawa Senators,5,7
2022-10-18,Philadelphia Flyers,Tampa Bay Lightning,3,2
2022-10-19,Winnipeg Jets,Colorado Avalanche,4,3
2022-10-19,Philadelphia Flyers,Florida Panthers,3,4
2022-10-19,St. Louis Blues,Seattle Kraken,4,3
2022-10-20,Anaheim Ducks,Boston Bruins,1,2
2022-10-20,Nashville Predators,Columbus Blue Jackets,3,5
2022-10-20,Buffalo Sabres,Calgary Flames,6,3
2022-10-20,Carolina Hurricanes,Edmonton Oilers,4,6
2022-10-20,Vancouver Canucks,Minnesota Wild,3,4
2022-10-20,Arizona Coyotes,Montreal Canadiens,2,6
2022-10-20,New Jersey Devils,New York Islanders,4,1
2022-10-20,San Jose Sharks,New York Rangers,3,2
2022-10-20,Washington Capitals,Ottawa Senators,2,5
2022-10-20,Los Angeles Kings,Pittsburgh Penguins,1,6
2022-10-20,Dallas Stars,Toronto Maple Leafs,2,3
2022-10-20,Winnipeg Jets,Vegas Golden Knights,2,5
2022-10-21,Detroit Red Wings,Chicago Blackhawks,3,4
2022-10-21,Seattle Kraken,Colorado Avalanche,3,2
2022-10-21,Tampa Bay Lightning,Florida Panthers,3,2
2022-10-22,Minnesota Wild,Boston Bruins,3,4
2022-10-22,Pittsburgh Penguins,Columbus Blue Jackets,6,3
2022-10-22,Carolina Hurricanes,Calgary Flames,2,3
2022-10-22,St. Louis Blues,Edmonton Oilers,2,0
2022-10-22,Dallas Stars,Montreal Canadiens,5,2
2022-10-22,San Jose Sharks,New Jersey Devils,1,2
2022-10-22,Philadelphia Flyers,Nashville Predators,3,1
2022-10-22,Arizona Coyotes,Ottawa Senators,2,6
2022-10-22,New York Islanders,Tampa Bay Lightning,3,5
2022-10-22,Buffalo Sabres,Vancouver Canucks,5,1
2022-10-22,Colorado Avalanche,Vegas Golden Knights,3,2
2022-10-22,Toronto Maple Leafs,Winnipeg Jets,4,1
2022-10-22,Los Angeles Kings,Washington Capitals,3,4
2022-10-23,Seattle Kraken,Chicago Blackhawks,4,5
2022-10-23,Anaheim Ducks,Detroit Red Wings,1,5
2022-10-23,New York Islanders,Florida Panthers,2,3
2022-10-23,Columbus Blue Jackets,New York Rangers,5,1
2022-10-23,San Jose Sharks,Philadelphia Flyers,3,0
2022-10-24,Pittsburgh Penguins,Edmonton Oilers,3,6
2022-10-24,Washington Capitals,New Jersey Devils,6,3
2022-10-24,Dallas Stars,Ottawa Senators,2,4
2022-10-24,Carolina Hurricanes,Vancouver Canucks,3,2
2022-10-24,Toronto Maple Leafs,Vegas Golden Knights,1,3
2022-10-24,St. Louis Blues,Winnipeg Jets,0,4
2022-10-25,Dallas Stars,Boston Bruins,1,3
2022-10-25,Arizona Coyotes,Columbus Blue Jackets,6,3
2022-10-25,Pittsburgh Penguins,Calgary Flames,1,4
2022-10-25,Florida Panthers,Chicago Blackhawks,2,4
2022-10-25,New Jersey Devils,Detroit Red Wings,6,2
